player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"441,490",2025-03-22 10:09:56,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"447,548",2025-03-22 09:53:07,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"446,513",2025-03-22 10:09:45,2025-03-22 18:34:16
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"493,429",2025-03-22 10:00:29,2025-03-22 18:34:16
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"443,485",2025-03-22 10:09:44,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"449,513",2025-03-22 09:55:08,2025-03-22 18:34:12
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"442,492",2025-03-22 10:09:35,2025-03-22 18:34:12
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"440,482",2025-03-22 10:00:00,2025-03-22 18:34:16
1031,Quamx,,比湿奴,1,0,0,1,3.0,"451,478",2025-03-22 10:09:30,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"434,530",2025-03-22 09:54:05,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"456,484",2025-03-22 10:09:19,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"483,453",2025-03-22 09:59:35,2025-03-22 18:34:14
43,笙歌君独幽,护法,梵天,1,0,0,1,3.0,"446,495",2025-03-22 10:09:08,2025-03-22 18:34:12
1031,Quamx,,比湿奴,1,0,0,1,3.0,"442,501",2025-03-22 09:55:00,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"443,494",2025-03-22 10:08:57,2025-03-22 18:34:12
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"548,463",2025-03-22 09:59:28,2025-03-22 18:34:12
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"451,477",2025-03-22 10:08:40,2025-03-22 18:34:12
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"439,544",2025-03-22 09:53:31,2025-03-22 18:34:12
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"446,479",2025-03-22 10:08:24,2025-03-22 18:34:16
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"452,484",2025-03-22 09:59:20,2025-03-22 18:34:16
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"453,463",2025-03-22 10:07:58,2025-03-22 18:34:12
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"433,502",2025-03-22 09:54:48,2025-03-22 18:34:12
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"451,457",2025-03-22 10:07:37,2025-03-22 18:34:12
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"444,492",2025-03-22 09:59:12,2025-03-22 18:34:12
